mean_print_dist,num_purges,num_lines_gcode,num_lines_comment,mean_angle_between_moves,num_fan_off,num_retract,median_move_dist,num_layers,naive_print_time,total_dist_move,num_unretract,filename,num_bytes_gcode,total_temp_decrement,median_angle_between_moves,num_fan_on,num_temp_checks,mean_move_dist,median_print_dist,total_dist_print,total_dwell_time,num_lines_move,total_angle_between_moves,total_length_extruded,num_redundant_lines,num_temp_changes,total_temp_increment
2.520399128,3,48554,281,0.728451587,7,590,1.244153527,256,5159.806677,140950.1564,588,gcode/2016/08/22/NVlogo-Whistle-positive-X2_FvXAK7W_reoriented.gcode,1361963,220,0.238852919,184,5,3.249496413,1.259709887,101965.2671,0.067,43376,31316.86218,5388.145018,193,5,220
2.359290294,3,4998,248,0.726654572,8,154,0.583958903,57,348.3233077,28605.94672,152,gcode/2016/06/20/complete_assembly_-_quarter_note-1_reoriented.gcode,128649,220,0.326330639,3,5,7.359389431,0.564731795,8205.611643,0.036,3887,2809.246575,893.4424129,11,5,220
2.256509459,3,47001,385,0.604291772,7,963,0.658380589,180,5329.175966,161604.4725,961,gcode/2016/09/08/PP0057-RevA_Encoder-Cover_reoriented.gcode,1314280,220,0.225152823,35,5,3.872899381,0.632636547,86670.2718,0.171,41727,25200.17549,4572.67477,13,5,220
2.520399128,3,48554,281,0.728451587,7,590,1.244153527,256,5159.806677,140950.1564,588,gcode/2016/09/20/NVlogo-Whistle-positive-X2_uu6ykNV_reoriented.gcode,1361963,220,0.238852919,184,5,3.249496413,1.259709887,101965.2671,0.067,43376,31316.86218,5388.145018,193,5,220
8.705912711,3,35680,237,1.542452731,24,157,0.886005079,50,3208.873929,321880.323,155,gcode/2016/08/04/Inner_Cover_reoriented.gcode,1017158,220,1.570796327,22,5,9.332298946,0.886005079,296244.7977,0.025,34491,53165.26074,8880.293076,12,5,220
2.520399128,3,48554,281,0.728451587,7,590,1.244153527,256,5159.806677,140950.1564,588,gcode/2016/09/20/NVlogo-Whistle-positive-X2_3csxnZb_reoriented.gcode,1361963,220,0.238852919,184,5,3.249496413,1.259709887,101965.2671,0.067,43376,31316.86218,5388.145018,193,5,220
3.061394758,3,42652,442,0.882918842,7,463,2.278298488,235,5391.794379,191227.448,461,gcode/2016/09/14/spike_head_sylvester_reoriented.gcode,1173644,220,0.5413282,294,5,5.197245421,2.273854214,104711.9463,0.228,36794,32388.99478,5617.578562,56,5,220
2.520399128,3,48554,281,0.728451587,7,590,1.244153527,256,5159.806677,140950.1564,588,gcode/2016/08/26/NVlogo-Whistle-positive-X2_fF7NCdK_reoriented_VOEA6sm.gcode,1361963,220,0.238852919,184,5,3.249496413,1.259709887,101965.2671,0.067,43376,31316.86218,5388.145018,193,5,220
2.261746486,3,67495,329,1.035485564,7,704,0.981492995,154,5828.37692,187233.726,702,gcode/2016/08/04/Cut_Ulna_and_Radius_reoriented.gcode,1878686,220,0.84711879,974,5,3.173452983,0.971800906,124608.6609,0.117,59000,60969.39,3944.494204,61,5,220
2.520399128,3,48554,281,0.728451587,7,590,1.244153527,256,5159.806677,140950.1564,588,gcode/2016/09/20/NVlogo-Whistle-positive-X2_eLrCR6Q_reoriented.gcode,1361963,220,0.238852919,184,5,3.249496413,1.259709887,101965.2671,0.067,43376,31316.86218,5388.145018,193,5,220
2.998052,3,468936,468,1.132030016,132,2423,1.755039031,292,33183.94383,1494133.874,2421,gcode/2016/07/14/Reciprocating_Y_Plate_-_Printable_Model_reoriented.gcode,13337109,220,1.047197551,219,5,3.387367371,1.755039031,1272106.442,0.254,441090,499129.0143,31109.72224,88,5,220
6.521231837,3,97242,705,1.259366248,8,2186,2.382,618,12654.42469,715188.3858,2184,gcode/2016/09/19/shayas_house_1_reoriented.gcode,2719800,220,1.375058832,663,5,8.527954615,2.212,496878.7386,0.491,83864,104764.1594,23024.01314,339,5,220
2.520399128,3,48554,281,0.728451587,7,590,1.244153527,256,5159.806677,140950.1564,588,gcode/2016/10/06/NVlogo-Whistle-positive-X2_upypGYH_reoriented.gcode,1361963,220,0.238852919,184,5,3.249496413,1.259709887,101965.2671,0.067,43376,31316.86218,5388.145018,193,5,220
10.87763553,3,23309,289,1.091416795,14,278,0.586200904,88,3083.985558,260680.0171,276,gcode/2016/12/02/PAE1_X_188_UQHjLvk_reoriented_6lNW4lf.gcode,635576,220,0.785393611,66,5,12.88708805,0.51618795,204989.0416,0.075,20228,22041.16218,10395.76333,17,5,220
11.09109714,3,35074,822,1.499290612,7,729,8.45982553,614,6603.611718,422904.5978,727,gcode/2016/11/18/Z_180-20_reoriented_4UlGrRQ.gcode,894036,220,1.570796327,120,5,17.08291314,8.460359567,219481.7213,0.608,24756,37087.95187,10174.81137,10,5,220
2.520399128,3,48554,281,0.728451587,7,590,1.244153527,256,5159.806677,140950.1564,588,gcode/2016/10/06/NVlogo-Whistle-positive-X2_upypGYH_reoriented.gcode,1361963,220,0.238852919,184,5,3.249496413,1.259709887,101965.2671,0.067,43376,31316.86218,5388.145018,193,5,220
0.943385686,3,11925,275,0.523884366,8,168,0.346770818,75,730.7539927,36526.95179,166,gcode/2016/07/12/Ukulele_Base_Plug_G5PMr5L_reoriented.gcode,326737,220,0.144277802,3,5,3.534296255,0.346770818,9144.23745,0.063,10335,5403.343355,824.8307567,11,5,220
4.33462328,3,131620,485,1.163717025,24,888,2.689834196,279,13847.16446,633306.3447,886,gcode/2016/07/22/turtle_shield_other_corner_reoriented.gcode,3659622,220,1.047266832,114,5,5.346793853,2.672157368,486756.5213,0.273,118446,137745.6931,12427.18855,40,5,220
1.045306655,3,66147,594,0.698394416,8,548,0.479409011,390,4407.699225,179284.0889,546,gcode/2016/06/16/Golf_Tee_reoriented.gcode,1861651,220,0.171206096,115,5,3.047753318,0.479301575,57773.05353,0.382,58825,41001.33937,1869.733534,60,5,220
2.214299347,3,13828,247,0.853732468,7,266,0.485462666,94,1286.557274,45626.71266,264,gcode/2016/07/15/msgkeychainv2_20140821-10340-b65mfh-0_reoriented.gcode,380125,220,0.578488559,103,5,3.836756867,0.480846105,23958.71894,0.035,11892,10069.77446,1398.697451,49,5,220
2.520399128,3,48551,281,0.728451587,7,590,1.244153527,256,5159.806677,140950.1564,588,gcode/2016/07/12/NVlogo-Whistle-positive-X2_r3uo1Ds_reoriented.gcode,1361914,220,0.238852919,184,5,3.249496413,1.259709887,101965.2671,0.067,43376,31316.86218,5388.145018,193,5,220
1.103010066,3,348247,717,0.59057998,7,5159,0.995707286,713,30296.99777,547807.0649,5157,gcode/2016/09/28/ethanol_reoriented_xdE59tR.gcode,9881590,220,0.151339623,2047,5,1.724561829,0.982108446,332438.4099,0.505,317650,187075.0674,7934.291839,443,5,220
6.232347936,3,27030,248,0.517152524,32,163,1.922354026,53,3365.512654,183018.7636,161,gcode/2016/10/01/Spindle_Whorl_reoriented.gcode,765201,220,0.098934226,27,5,7.276220077,1.921962799,151738.9752,0.036,25153,12997.07724,8136.920286,11,5,220
2.520399128,3,48554,281,0.728451587,7,590,1.244153527,256,5159.806677,140950.1564,588,gcode/2016/10/19/NVlogo-Whistle-positive-X2_e801SQa_reoriented_u50Bygo.gcode,1361963,220,0.238852919,184,5,3.249496413,1.259709887,101965.2671,0.067,43376,31316.86218,5388.145018,193,5,220
2.500568349,3,51227,332,0.76753571,7,782,1.253782477,309,5316.742329,161798.6093,780,gcode/2016/12/21/NVlogo-Whistle-positive-X2_5e6ZisM_reoriented.gcode,1436445,220,0.264091681,187,5,3.559298898,1.261057096,105168.9036,0.118,45458,34515.31337,5518.261738,245,5,220
2.520399128,3,48554,281,0.728451587,7,590,1.244153527,256,5159.806677,140950.1564,588,gcode/2016/10/20/NVlogo-Whistle-positive-X2_e801SQa_reoriented_hgpEBmX.gcode,1361963,220,0.238852919,184,5,3.249496413,1.259709887,101965.2671,0.067,43376,31316.86218,5388.145018,193,5,220
2.520399128,3,48554,281,0.728451587,7,590,1.244153527,256,5159.806677,140950.1564,588,gcode/2016/10/20/NVlogo-Whistle-positive-X2_e801SQa_reoriented_jq56XDV.gcode,1361963,220,0.238852919,184,5,3.249496413,1.259709887,101965.2671,0.067,43376,31316.86218,5388.145018,193,5,220
11.355401,3,25547,297,1.500972622,10,395,3.284511075,91,3510.373256,264259.8427,393,gcode/2016/09/29/1x3_Box_reoriented_OwSXgvx.gcode,690117,220,1.570796327,13,5,12.60300662,3.213800398,215434.6678,0.085,20968,31440.87351,6097.709744,11,5,220
2.794779985,3,114137,697,0.751584228,7,812,1.234241873,489,13957.29778,424172.6092,810,gcode/2016/06/15/PP0044-RevC_Camera-Mount_reoriented.gcode,3185307,220,0.262593463,462,5,4.205808487,1.254962948,263083.8191,0.483,100854,75785.99561,12439.73982,10,5,220
2.520399128,3,48554,281,0.728451587,7,590,1.244153527,256,5159.806677,140950.1564,588,gcode/2016/10/15/NVlogo-Whistle-positive-X2_BmM5J10_reoriented.gcode,1361963,220,0.238852919,184,5,3.249496413,1.259709887,101965.2671,0.067,43376,31316.86218,5388.145018,193,5,220
1.996882115,3,150888,462,0.635147344,7,1072,1.872964762,256,18042.70234,372625.8571,1070,gcode/2016/06/16/wheel_2in_diameter_shaft_reoriented.gcode,4259316,220,0.169198797,226,5,2.716862607,1.877714835,259922.1636,0.25,137153,87045.67316,6752.98276,53,5,220
2.85338768,3,744808,1046,0.657264975,154,11286,0.759797341,1356,67471.77751,2485666.198,11284,gcode/2016/09/16/Base_SUoNvvz_reoriented.gcode,21198406,220,0.175037553,640,5,3.639069172,0.755987434,1837387.635,0.834,683050,448005.6094,44314.19288,715,5,220
2.329950267,3,168039,397,1.007249531,8,1774,0.48559757,192,11931.28316,459633.7739,1772,gcode/2016/06/14/connector_prong_with_hooks_pLo142T_reoriented.gcode,4752262,220,0.785393611,703,5,3.013102848,0.47540509,337898.7076,0.185,152545,153588.4302,9077.675257,32,5,220
3.912317536,3,79052,549,0.71483513,7,472,1.24493293,481,11161.93458,383157.7289,470,gcode/2016/09/26/PP0054-RevA_Ramp-Guide_reoriented.gcode,2210062,220,0.09964041,82,5,5.270902685,1.257943162,270172.9121,0.335,72693,51749.77438,14222.40643,150,5,220
1.006772882,3,609649,500,0.421170705,38,3793,0.624519816,297,57206.57313,751232.6226,3791,gcode/2016/12/09/Frame_Back_reoriented.gcode,17403985,220,0.209331748,58,5,1.325617293,0.63549823,546477.327,0.288,566704,238668.5939,16045.10299,13,5,220
2.282084806,3,34951,343,0.972740779,7,473,0.894503773,137,3618.124107,117207.9331,471,gcode/2016/10/27/hk00039-009-0-1_bar-clamp_twist-on_reoriented_o0GnoiV.gcode,959502,220,0.70382881,69,5,3.839358395,0.894503773,64975.5186,0.131,30528,29624.82043,2204.885115,37,5,220
2.520399128,3,48554,281,0.728451587,7,590,1.244153527,256,5159.806677,140950.1564,588,gcode/2016/10/20/NVlogo-Whistle-positive-X2_e801SQa_reoriented_hgpEBmX.gcode,1361963,220,0.238852919,184,5,3.249496413,1.259709887,101965.2671,0.067,43376,31316.86218,5388.145018,193,5,220
1.651101232,3,18444,280,1.128471695,8,291,0.585070936,81,1240.714386,54878.94911,289,gcode/2016/10/03/snake_rope_reoriented.gcode,508071,220,0.785393611,157,5,3.456506211,0.584583612,24457.76255,0.068,15877,17884.01941,1220.024892,15,5,220
1.260082588,3,251642,479,0.475670735,7,1914,1.203387095,473,27108.21941,402596.4483,1912,gcode/2016/09/27/Ethanol_g9J6L6q_reoriented.gcode,7147470,220,0.127836785,1640,5,1.738671966,1.205111198,280890.05,0.267,231554,109944.1554,6994.188056,210,5,220
3.22088046,3,71344,305,0.561657836,28,378,1.256685323,97,8782.138231,253892.7188,376,gcode/2016/08/10/PP0018-RevC_Spool-Mount-Base_LQuv0s8_reoriented.gcode,2030800,220,0.143160678,30,5,3.838832726,1.256339524,204992.9369,0.091,66138,37136.25444,10360.12429,10,5,220
2.520399128,3,48554,281,0.728451587,7,590,1.244153527,256,5159.806677,140950.1564,588,gcode/2016/08/29/NVlogo-Whistle-positive-X2_fF7NCdK_reoriented.gcode,1361963,220,0.238852919,184,5,3.249496413,1.259709887,101965.2671,0.067,43376,31316.86218,5388.145018,193,5,220
4.023432092,3,96291,528,0.767793861,10,553,3.178081969,322,10920.79717,464369.2897,551,gcode/2016/08/17/Part2-Boss-Extrude29_fFaHGhW_reoriented.gcode,2710707,220,0.523629582,117,5,5.388677571,3.178081969,326932.0215,0.316,86175,66148.5123,8213.403467,11,5,220
