submission__id,submission__name,submission__gcode,submission__print_time(s),simulation__print_time(s),simulation__print_time_with_acceleration(s),Log(print time),Log(sim),Log(sim w/ accel),simulation__layers_printed,simulation__layers_visited,simulation__xy_distance(mm),simulation__extrusion(mm),simulation__avg_speed(mm/s),simulation__avg_print_speed(mm/s),simulation__avg_travel_speed(mm/s),simulation__gcode_lines,simulation__mass(cm3),simulation__avg_layer_height(mm),Log(guess),xh-xbar squared,added error term for interval,Pred log low,Pred log high,Pred PT low (min),Pred PT high (min),PT guess (min),Actual time outside interval?,Pred low - guess,Pred high - guess
55937,ignite_1049.stl,gcode/2016/12/13/ignite_1049_reoriented.gcode,2556,1175.95,1272.4741,7.8461988155,7.0698316105,7.1487183946,120,121,101275.46,6.05,141.21,92.6,156.75,16622,0.04,0.17,7.7296745654,0.9210241479,0.0011128361,7.4908935652,7.9684555656,29.8608722504,48.1398830709,37.9143626945,N,-21%,27%
44460,MB_Tech_Logo_binary.stl,gcode/2016/09/24/MB_Tech_Logo_binary_reoriented_vkHQxTi.gcode,4936,2174.07,2623.5483,8.5043105656,7.6843562659,7.8722829935,35,37,173419.52,9.08,113.56,99.54,146.09,101840,0.06,0.19,8.4253368721,0.0557599419,6.73724757081795E-05,8.1866804596,8.6639932845,59.8796010729,96.5102019347,76.0196842358,N,-21%,27%
53556,PAE1(PAE1_Z 180-20.stl),gcode/2016/11/29/Z_180-20_reoriented.gcode,8903,5100.14,5254.3843,9.0941435776,8.5370232693,8.5668181118,604,605,402836.7,6.02,129.62,86.59,142.2,29026,0.04,0.3,9.0930891408,0.2101302731,0.0002538919,8.8544104961,9.3317677855,116.7536236653,188.1845675029,148.2269549504,N,-21%,27%
36603,NVlogo-Whistle-positive-X2.stl,gcode/2016/07/12/NVlogo-Whistle-positive-X2_PrL77Gq_reoriented.gcode,4122,2289.39,2420.4167,8.3240937615,7.7360406855,7.7916949944,63,64,140978.98,6.04,107.68,81.34,143.58,48575,0.04,0.28,8.3478565291,0.1003137313,0.000121205,8.1091936998,8.5865193583,55.4149347416,89.3154777626,70.3520530733,N,-21%,27%
55425,j3ms maxi toy hack.stl,gcode/2016/12/09/j3ms_maxi_toy_hack_reoriented.gcode,8114,3250.12,4130.8203,9.0013462438,8.0864471977,8.3262312861,288,289,390309.12,6.02,159.34,140.49,171.58,86438,0.04,0.19,8.8617798888,0.0474424426,5.73227786670195E-05,8.6231246743,9.1004351033,92.6454750235,149.3198338101,117.6172050925,N,-21%,27%
51505,PAE1(PAE1_Y 50.stl),gcode/2016/11/18/Y_50_reoriented_KjM35XP.gcode,2529,1469.68,1623.4308,7.8355792467,7.292799969,7.3922969667,71,72,98563.75,6.02,120.28,79.17,171.78,12655,0.04,0.28,7.9638601953,0.5128299427,0.0006196316,7.7251379621,8.2025824284,37.7427498333,60.8394158677,47.9191699959,N,-21%,27%
50578,bodacious_crift-jarv.stl,gcode/2016/11/14/bodacious_crift-jarv_reoriented.gcode,14044,7025.31,9136.942,9.5499505373,8.8572746213,9.1200810352,265,266,801799.5,6.03,150.6,139.64,170.72,163675,0.04,0.2,9.6250169908,1.0234612373,0.0012366067,9.3862212452,9.8638127364,198.7160026282,320.3673077275,252.3135168087,N,-21%,27%
42232,NVlogo-Whistle-positive-X2.stl,gcode/2016/08/31/NVlogo-Whistle-positive-X2_uhp9arQ_reoriented.gcode,4127,2289.39,2420.4167,8.3253060298,7.7360406855,7.7916949944,63,64,140978.98,6.04,107.68,81.34,143.58,48579,0.04,0.28,8.3478565291,0.1003137313,0.000121205,8.1091936998,8.5865193583,55.4149347416,89.3154777626,70.3520530733,N,-21%,27%
57103,PP0080-RevA_Encoder-Bearing-Mount.stl,gcode/2016/12/19/PP0080-RevA_Encoder-Bearing-Mount_reoriented.gcode,16690,6449.4,8834.503,9.7225650167,8.7717423822,9.0864201296,322,324,845639.1,9.03,166.37,164.25,171.83,228851,0.06,0.2,9.5926541261,0.9564873347,0.0011556848,9.353868021,9.8314402312,192.3897877921,310.1622876353,244.2786456063,N,-21%,27%
37861,NVlogo-Whistle-positive-X2.stl,gcode/2016/07/18/NVlogo-Whistle-positive-X2_GAUY3hP_reoriented.gcode,4157,2289.39,2420.4167,8.3325489393,7.7360406855,7.7916949944,63,64,140978.98,6.04,107.68,81.34,143.58,48579,0.04,0.28,8.3478565291,0.1003137313,0.000121205,8.1091936998,8.5865193583,55.4149347416,89.3154777626,70.3520530733,N,-21%,27%
55826,T.stl,gcode/2016/12/12/T_reoriented.gcode,5548,2141.83,2610.9077,8.6211927814,7.6694158828,7.8674532176,60,62,196315.81,11.13,137.16,112.63,160.2,151713,0.08,0.17,8.4206933433,0.058064231,7.01566547924513E-05,8.182036599,8.6593500877,59.602173219,96.0631248054,75.6675029627,N,-21%,27%
43053,roof.stl,gcode/2016/09/15/roof_reoriented.gcode,11429,5605.68,6710.33,9.3439092639,8.6315356484,8.8114034091,103,104,585272.44,6.11,141.75,126.28,180.47,77903,0.04,0.17,9.3282426742,0.4941878882,0.0005971072,9.0895231252,9.5669622231,147.6993166579,238.0825972948,187.5223638091,N,-21%,27%
48294,5.STL,gcode/2016/10/21/5_reoriented.gcode,2109,1230.26,1274.7043,7.6539691805,7.1149808081,7.1504695091,66,68,75062.6,9.16,115.9,54.92,151.58,13534,0.06,0.15,7.731358153,0.917666125,0.0011087788,7.4925776362,7.9701386698,29.9112024468,48.2209757351,37.9782486089,N,-21%,27%
35625,Red Blood Cell.stl,gcode/2016/06/30/Red_Blood_Cell_reoriented_8fZgqp9.gcode,9768,4957.59,6187.3833,9.1868670158,8.5086750145,8.7302675461,62,64,469141,9.2,117.51,109.31,129.84,159792,0.07,0.19,9.2502355941,0.3866963297,0.0004672295,9.0115315231,9.4889396651,136.6177610291,220.212965452,173.4502876608,N,-21%,27%
57465,Silicone Casting Mold.STL,gcode/2016/12/21/Silicone_Casting_Mold_reoriented.gcode,36945,13225.11,17942.94,10.5171855992,9.4898725743,9.7949520018,79,80,1368423.2,6.88,124.71,117.51,140.62,843244,0.05,0.19,10.2738634021,2.8443955064,0.0034367677,10.0348056918,10.5129211123,380.1101691835,613.1297331982,482.759615769,Y,-21%,27%
35582,ukulele_plug_printable.STL,gcode/2016/06/30/ukulele_plug_printable_reoriented.gcode,1803,684.46,744.79254,7.4972072232,6.5286302062,6.6131057098,36,38,53584.02,11.1,146.38,149.14,144.95,47465,0.08,0.18,7.2147163208,2.2359601155,0.0027016199,6.9757461098,7.4536865318,17.8392582352,28.770252946,22.6548001932,Y,-21%,27%
37991,NVlogo-Whistle-positive-X2.stl,gcode/2016/07/18/NVlogo-Whistle-positive-X2_udOvY5z_reoriented_oyATXuG.gcode,4167,2289.39,2420.4167,8.3349516314,7.7360406855,7.7916949944,63,64,140978.98,6.04,107.68,81.34,143.58,48579,0.04,0.28,8.3478565291,0.1003137313,0.000121205,8.1091936998,8.5865193583,55.4149347416,89.3154777626,70.3520530733,N,-21%,27%
40472,opener.stl,gcode/2016/08/09/opener_reoriented.gcode,3343,1810.84,2124.4224,8.1146238864,7.501546105,7.6612552326,42,44,142149.36,9.12,115.58,95.97,149.49,46402,0.06,0.19,8.2224468204,0.1999549204,0.0002415974,7.9837696411,8.4611239997,48.8827747029,78.7894762238,62.0600371834,N,-21%,27%
43983,NVlogo-Whistle-positive-X2.stl,gcode/2016/09/20/NVlogo-Whistle-positive-X2_OmfyxCQ_reoriented.gcode,3796,2054.96,2307.0217,8.2417031597,7.628011662,7.7437126643,63,64,142162.95,4.04,101.32,72.74,139.53,48586,0.03,0.28,8.3017245064,0.1330102917,0.0001607109,8.0630569682,8.5403920446,52.9163521778,85.2891699686,67.1802929066,N,-21%,27%
37892,NVlogo-Whistle-positive-X2.stl,gcode/2016/07/18/NVlogo-Whistle-positive-X2_DdiGVuo_reoriented.gcode,4126,2289.39,2420.4167,8.3250636936,7.7360406855,7.7916949944,63,64,140978.98,6.04,107.68,81.34,143.58,48579,0.04,0.28,8.3478565291,0.1003137313,0.000121205,8.1091936998,8.5865193583,55.4149347416,89.3154777626,70.3520530733,N,-21%,27%
35798,CAR_frame with LOGO.STL,gcode/2016/07/03/CAR_frame_with_LOGO_reoriented.gcode,93419,39816.17,54701.85,11.4448500297,10.5920283902,10.9096528087,1038,1039,4576823.5,4.13,132,113.22,159.66,1081265,0.03,0.17,11.3455788173,7.8469140736,0.0094811079,11.1058029041,11.5853547304,1109.2710222886,1791.8612592123,1409.8438817138,N,-21%,27%
35283,AA Battery holder addition v4.STL,gcode/2016/06/28/AA_Battery_holder_addition_v4_reoriented_QJT86it.gcode,1690,764.99,787.8025,7.4324838079,6.6398627618,6.6692474239,65,67,54687.8,11.38,129.72,75.67,159.14,16944,0.08,0.19,7.268693083,2.0712131697,0.0025025628,7.0297465699,7.5076395962,18.8290710442,30.3651337473,23.9112371197,N,-21%,27%
38839,polar bear.stl,gcode/2016/07/26/polar_bear_reoriented.gcode,23443,7122.37,9893.491,10.0623272218,8.8709958142,9.1996323451,320,321,991660.9,6.04,168.65,158,178.65,664277,0.04,0.19,9.7015006218,1.19074782,0.0014387323,9.4626807979,9.9403204457,214.5056837454,345.8398765812,272.368535614,Y,-21%,27%
53298,giselle_water_bottle (1).stl,gcode/2016/11/28/giselle_water_bottle_1_reoriented.gcode,7044,2530.86,3135.0725,8.8599314696,7.8363144449,8.0504075788,104,105,259055.3,6.79,152.95,136.06,173.56,76612,0.05,0.19,8.5965925693,0.0033652583,4.06610502011897E-06,8.3579437032,8.8352414355,71.0652977475,114.5368806916,90.2197180744,Y,-21%,27%
54050,j3r cillian toy hack.stl,gcode/2016/12/01/j3r_cillian_toy_hack_reoriented.gcode,3304,1391.4,1620.6976,8.1028891346,7.2380657135,7.3906119528,54,56,137884.73,11.07,153.66,145.26,161.85,33168,0.08,0.19,7.9622401594,0.5152461312,0.000622551,7.7235175783,8.2009627404,37.6816416159,60.7409547556,47.8416020688,N,-21%,27%
40301,top cover back.STL,gcode/2016/08/07/top_cover_back_reoriented.gcode,6368,3412.99,4326.4067,8.7590407275,8.1353440189,8.372492615,47,49,338210.38,13.49,141.15,134.78,165.89,38157,0.1,0.19,8.906257276,0.069735178,8.42581864792004E-05,8.6675988507,9.1449157012,96.8588039361,156.1116004462,122.9665926167,N,-21%,27%
54242,foosballgoalie.stl,gcode/2016/12/02/foosballgoalie_reoriented.gcode,10111,5415.77,6853.8384,9.2213792191,8.5970703469,8.8325641247,182,183,500607.62,4.36,119.24,100.35,149.13,95356,0.03,0.15,9.3485873846,0.5243869947,0.0006335955,9.1098634873,9.5873112818,150.7343363078,242.9769832173,191.3765249536,N,-21%,27%
51193,Name Plate Hook.STL,gcode/2016/11/17/Name_Plate_Hook_vG2qePB_reoriented_uxWg6QI.gcode,17548,9729.72,10787.685,9.7726952623,9.1829403978,9.2861604847,26,28,538469.8,13.21,85.07,61.71,146.11,279119,0.09,0.25,9.78469204,1.3870763598,0.0016759481,9.5458439608,10.0235401193,233.1074249418,375.8520406618,295.996454975,N,-21%,27%
52539,PAE1(PAE1_X 94.stl),gcode/2016/11/22/X_94_reoriented_magCapL.gcode,3673,2253.71,2440.5679,8.2087640458,7.7203330262,7.7999860371,71,72,148544.97,6.02,111.44,82.72,170.88,14920,0.04,0.28,8.3558278503,0.0951305378,0.0001149424,8.1171657676,8.5944899331,55.8584719626,90.0302181198,70.915092996,N,-21%,27%
56618,MITmodel.STL,gcode/2016/12/15/MITmodel_reoriented.gcode,44321,23425.09,27413.875,10.6992138843,10.0615629491,10.2188045511,293,294,1703826.8,6.02,110.37,89.66,143.86,415200,0.04,0.3,10.6813712356,4.4537296021,0.0053812608,10.4420822408,10.9206602303,571.1990104548,921.7883741632,725.6201535037,N,-21%,27%
49374,Gears and Gear Trains(Advanced Kit - 8 and 16 toothed gear),gcode/2016/11/02/8-16_gear_final_DE64YYK_reoriented.gcode,4072,1693.89,2093.6528,8.3118895582,7.434782938,7.6466655706,84,85,166754.47,6.25,147.78,132.69,167.37,110865,0.04,0.19,8.2084197688,0.2132156983,0.0002576199,7.9697406798,8.4470988579,48.2017880852,77.692155669,61.1955948042,N,-21%,27%
41959,NVlogo-Whistle-positive-X2.stl,gcode/2016/08/29/NVlogo-Whistle-positive-X2_fF7NCdK_reoriented.gcode,4130,2289.39,2420.4167,8.326032686,7.7360406855,7.7916949944,63,64,140978.98,6.04,107.68,81.34,143.58,48579,0.04,0.28,8.3478565291,0.1003137313,0.000121205,8.1091936998,8.5865193583,55.4149347416,89.3154777626,70.3520530733,N,-21%,27%
55050,jnatal_frontside (repaired).stl,gcode/2016/12/07/jnatal_frontside_repaired_reoriented.gcode,28134,15097.58,16125.367,10.2447340883,9.6222897451,9.6881489011,185,186,1060011.5,6.51,112.77,82.2,148.17,172713,0.05,0.29,10.1711788712,2.4955483778,0.0030152699,9.9321713248,10.4101864176,343.0330377931,553.2676359109,435.6478828815,N,-21%,27%
36861,PP0020-RevB_Spool-Cap.stl,gcode/2016/07/13/PP0020-RevB_Spool-Cap_IUzrWDA_reoriented.gcode,3130,1739.58,1977.6246,8.0487882835,7.4613989838,7.5896517065,48,50,127887.63,11.15,120,112.12,129.1,40538,0.08,0.28,8.1536044886,0.269118908,0.0003251655,7.914917349,8.3922916283,45.6303372916,73.5486480904,57.9314216959,N,-21%,27%
57564,Curie_Coaster_Simple_mm.stl,gcode/2016/12/22/Curie_Coaster_Simple_mm_reoriented.gcode,4045,2464.15,2638.1655,8.3052368295,7.8096021994,7.8778390682,18,20,146423.42,11.21,98.55,81.93,126.67,35167,0.08,0.23,8.430678692,0.0531668397,6.42393354582369E-05,8.192022653,8.6693347309,60.2003454579,97.0270852319,76.4268542447,N,-21%,27%
46602,l5d14xya7rV (13).stl,gcode/2016/10/12/l5d14xya7rV_13_7imiqaw_reoriented.gcode,2509,1554.43,1605.7446,7.8276395464,7.3488641979,7.3813428532,8,10,75141.87,9.11,90.43,56.57,147.84,9896,0.06,0.15,7.9533284973,0.5286388867,0.0006387329,7.7146039878,8.1920530067,37.3472553997,60.2021727878,47.4171479817,N,-21%,27%
48181,MMap.STL,gcode/2016/10/20/MMap_reoriented.gcode,7018,3016.51,3987.1592,8.8562335561,8.011855813,8.2908342764,151,152,359365.28,7.02,156.7,144.76,174.01,69021,0.05,0.18,8.8277478681,0.0332755429,4.02054885565082E-05,8.589094694,9.0664010421,89.5457915391,144.3233805327,113.6817986637,N,-21%,27%
45557,MichM.STL,gcode/2016/10/06/MichM_reoriented.gcode,7840,4716.13,5016.6113,8.9669941133,8.458743827,8.5205099449,74,76,245475.6,9.15,82.63,61.21,114.11,36549,0.06,0.28,9.0485667218,0.169819421,0.0002051859,8.8098938825,9.2872395612,111.6701369947,179.9888669983,141.772287261,N,-21%,27%
41220,Pilot Arc Guard.STL,gcode/2016/08/19/Pilot_Arc_Guard_reoriented.gcode,13807,5799.29,8280.505,9.5329309889,8.6654907752,9.0216592359,244,245,843624.5,6.02,175.17,187.67,154.24,145455,0.04,0.16,9.5303905593,0.834008779,0.001007699,9.2916220854,9.7691590333,180.779403566,291.4342640384,229.5328134092,N,-21%,27%
54555,PAE1-2(PAE1-2_Z 30-20.stl),gcode/2016/12/05/PAE1_Z_30-20_nJrrofB_reoriented_oeE0YYY.gcode,4250,2364.11,2603.3928,8.3546742619,7.7681569087,7.8645707964,107,108,171039.94,6.02,123.34,90.1,148.9,18251,0.04,0.28,8.4179220748,0.0594616659,7.18451185747565E-05,8.1792651292,8.6565790204,59.4372162889,95.797295911,75.4580982861,N,-21%,27%
54433,ShuttleFuelTank.stl,gcode/2016/12/03/ShuttleFuelTank_reoriented.gcode,23918,8943.39,12036.148,10.0823865925,9.0986699909,9.3956697341,461,462,1044458.75,6.09,151.27,152.74,150.38,416367,0.04,0.2,9.8899783644,1.6570159334,0.0020021051,9.6510914412,10.1288652875,258.9789745384,417.5986172063,328.8605504659,N,-21%,27%
46787,scott_wegleys_cell_model.stl,gcode/2016/10/13/scott_wegleys_cell_model_reoriented.gcode,27355,9897.52,13936.988,10.2166546065,9.2000394997,9.5423015921,246,248,1331741.1,9.04,170.62,165.7,176.95,354374,0.06,0.17,10.0309557653,2.0560209376,0.0024842067,9.7920114375,10.269900093,298.170918861,480.850076775,378.649586328,N,-21%,27%
35743,smooth_snaget-albar(1).stl,gcode/2016/07/01/smooth_snaget-albar1_reoriented.gcode,2717,1557.93,1814.5603,7.9072836094,7.351113296,7.5035984584,25,27,115013.95,9.09,112.13,97.58,141.91,17086,0.06,0.17,8.070869649,0.3658071917,0.00044199,7.832168586,8.309570712,42.0064855296,67.7094766237,53.3313899126,N,-21%,27%
38774,Ukulele Headstock Version 2.STL,gcode/2016/07/26/Ukulele_Headstock_Version_2_EiOqmj8_reoriented.gcode,11399,4865.76,6119.0874,9.3412809112,8.4899782003,8.7191682467,587,588,573792.94,6.11,150.82,123.38,174.53,115096,0.04,0.17,9.2395643089,0.373015345,0.0004506993,9.0008622079,9.4782664099,135.1678913914,217.8750749141,171.6091910793,N,-21%,27%
41566,NVlogo-Whistle-positive-X2.stl,gcode/2016/08/22/NVlogo-Whistle-positive-X2_fF7NCdK_reoriented.gcode,4124,2289.39,2420.4167,8.3245788451,7.7360406855,7.7916949944,63,64,140978.98,6.04,107.68,81.34,143.58,48579,0.04,0.28,8.3478565291,0.1003137313,0.000121205,8.1091936998,8.5865193583,55.4149347416,89.3154777626,70.3520530733,N,-21%,27%
49183,PP0059-RevA_Purge-Collector-Mount.stl,gcode/2016/10/31/PP0059-RevA_Purge-Collector-Mount_U6kSmMo_reoriented.gcode,10643,3720.41,5105.461,9.272657678,8.2215891562,8.5380660301,394,395,492372.25,6.03,162.6,155.29,174.12,155076,0.04,0.2,9.0654458046,0.1845970648,0.0002230411,8.826770837,9.3041207722,113.5707822617,183.0530881487,144.1855832476,N,-21%,27%
45753,NVlogo-Whistle-positive-X2.stl,gcode/2016/10/06/NVlogo-Whistle-positive-X2_reoriented.gcode,4148,2289.39,2420.4167,8.3303815693,7.7360406855,7.7916949944,63,64,140978.98,6.04,107.68,81.34,143.58,48579,0.04,0.28,8.3478565291,0.1003137313,0.000121205,8.1091936998,8.5865193583,55.4149347416,89.3154777626,70.3520530733,N,-21%,27%
49330,The Moon(Stand for globe ),gcode/2016/11/01/Stand_reoriented_GYfAKYr.gcode,11833,6702.41,7935.554,9.3786475174,8.8102224422,8.9791084478,81,82,533597.8,6.52,119.16,115.8,128.62,76301,0.05,0.29,9.4894806262,0.7581011162,0.0009159828,9.25072308,9.7282381723,173.5348628387,279.7492343064,220.3321243137,N,-21%,27%
35127,Triangle.STL,gcode/2016/06/27/Triangle_BC0DAVU_reoriented.gcode,3901,2027.3,2297.832,8.2689882095,7.6144601375,7.7397213487,40,42,168730.42,9.09,117.23,99.47,136.54,39740,0.06,0.18,8.297887105,0.1359375339,0.0001642478,8.0592191452,8.5365550648,52.7136577861,84.9625441722,66.9229891602,N,-21%,27%
49188,PP0059-RevA_Purge-Collector-Mount.stl,gcode/2016/10/31/PP0059-RevA_Purge-Collector-Mount_U6kSmMo_reoriented.gcode,10800,3720.41,5105.461,9.2873014131,8.2215891562,8.5380660301,394,395,492372.25,6.03,162.6,155.29,174.12,155076,0.04,0.2,9.0654458046,0.1845970648,0.0002230411,8.826770837,9.3041207722,113.5707822617,183.0530881487,144.1855832476,N,-21%,27%
56094,ely.stl,gcode/2016/12/13/ely_reoriented.gcode,4286,1968.2,2365.7039,8.363109176,7.5848746985,7.7688308888,83,84,198039.9,6.5,147.26,135.61,163.48,34409,0.05,0.19,8.3258741152,0.1153196946,0.0001393361,8.0872091248,8.5645391056,54.2099549674,87.3737193401,68.8224192452,N,-21%,27%
41837,NVlogo-Whistle-positive-X2.stl,gcode/2016/08/26/NVlogo-Whistle-positive-X2_fF7NCdK_reoriented.gcode,4127,2289.39,2420.4167,8.3253060298,7.7360406855,7.7916949944,63,64,140978.98,6.04,107.68,81.34,143.58,48579,0.04,0.28,8.3478565291,0.1003137313,0.000121205,8.1091936998,8.5865193583,55.4149347416,89.3154777626,70.3520530733,N,-21%,27%
